DNA_plate	DNA_well	old_sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	altitude	chem_administration	host_body_habitat	host_diet	host_last_meal	host_life_stage	host_sex	isolation_source	perturbation	samp_collect_device	samp_mat_process	samp_size	samp_store_temp	samp_vol_we_dna_ext	description	PigPen	Cohort	Dysentery	date of sample	pig ID	alt_sample_name	replicate	r1_filename	r2_filename
plate_5	B2	Au14/MC5			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC5	MockCommunity-170814-05	5	combined_new/plate_5_B2.r1.fastq.gz	combined_new/plate_5_B2.r2.fastq.gz
plate_6	E2	Au14/MC6			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC6	MockCommunity-170814-06	6	combined_new/plate_6_E2.r1.fastq.gz	combined_new/plate_6_E2.r2.fastq.gz
plate_7	D5	Au14/MC7			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC7	MockCommunity-170814-07	7	combined_new/plate_7_D5.r1.fastq.gz	combined_new/plate_7_D5.r2.fastq.gz
plate_8	G1	Au14/MC8			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC8	MockCommunity-170814-08	8	combined_new/plate_8_G1.r1.fastq.gz	combined_new/plate_8_G1.r2.fastq.gz
plate_9	A8	Au14/MC9			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC9	MockCommunity-170814-09	9	combined_new/plate_9_A8.r1.fastq.gz	combined_new/plate_9_A8.r2.fastq.gz
plate_8	A12	Fe1/14160			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14160					-80C			1B		0.0	Fe1	14160	14160-170201-01	1	combined_new/plate_8_A12.r1.fastq.gz	combined_new/plate_8_A12.r2.fastq.gz
plate_8	G4	Fe1/14160			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14160					-80C			1B		0.0	Fe1	14160	14160-170201-02	2	combined_new/plate_8_G4.r1.fastq.gz	combined_new/plate_8_G4.r2.fastq.gz
plate_7	B2	Fe1/14162			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14162					-80C			3C		0.0	Fe1	14162	14162-170201-01	1	combined_new/plate_7_B2.r1.fastq.gz	combined_new/plate_7_B2.r2.fastq.gz
plate_7	C8	Fe1/14162			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14162					-80C			3C		0.0	Fe1	14162	14162-170201-02	2	combined_new/plate_7_C8.r1.fastq.gz	combined_new/plate_7_C8.r2.fastq.gz
plate_5	G12	Fe1/14192			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14192					-80C			4C		0.0	Fe1	14192	14192-170201-01	1	combined_new/plate_5_G12.r1.fastq.gz	combined_new/plate_5_G12.r2.fastq.gz
plate_7	D10	Fe1/14262			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14262					-80C			2A		0.0	Fe1	14262	14262-170201-01	1	combined_new/plate_7_D10.r1.fastq.gz	combined_new/plate_7_D10.r2.fastq.gz
plate_8	H4	Fe1/14273			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14273					-80C			2C		0.0	Fe1	14273	14273-170201-01	1	combined_new/plate_8_H4.r1.fastq.gz	combined_new/plate_8_H4.r2.fastq.gz
plate_6	D10	Fe1/14287			Gut microflora metagenomics	2017-02-01	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14287					-80C			4D		0.0	Fe1	14287	14287-170201-01	1	combined_new/plate_6_D10.r1.fastq.gz	combined_new/plate_6_D10.r2.fastq.gz
plate_8	B7	Fe10/14159			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14159					-80C			2A		0.0	Fe10	14159	14159-170210-01	1	combined_new/plate_8_B7.r1.fastq.gz	combined_new/plate_8_B7.r2.fastq.gz
plate_7	G10	Fe10/14184			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14184					-80C			1C		0.0	Fe10	14184	14184-170210-01	1	combined_new/plate_7_G10.r1.fastq.gz	combined_new/plate_7_G10.r2.fastq.gz
plate_4	A4	Fe10/14186			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14186					-80C			3F		0.0	Fe10	14186	14186-170210-01	1	combined_new/plate_4_A4.r1.fastq.gz	combined_new/plate_4_A4.r2.fastq.gz
plate_8	C11	Fe10/14187			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14187					-80C			1A		0.0	Fe10	14187	14187-170210-01	1	combined_new/plate_8_C11.r1.fastq.gz	combined_new/plate_8_C11.r2.fastq.gz
plate_5	C6	Fe10/14188			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14188					-80C			3A		0.0	Fe10	14188	14188-170210-01	1	combined_new/plate_5_C6.r1.fastq.gz	combined_new/plate_5_C6.r2.fastq.gz
plate_6	A7	Fe10/14208			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14208					-80C			4B		0.0	Fe10	14208	14208-170210-01	1	combined_new/plate_6_A7.r1.fastq.gz	combined_new/plate_6_A7.r2.fastq.gz
plate_4	A9	Fe10/14209			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14209					-80C			3A		0.0	Fe10	14209	14209-170210-01	1	combined_new/plate_4_A9.r1.fastq.gz	combined_new/plate_4_A9.r2.fastq.gz
plate_6	G3	Fe10/14260			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14260					-80C			3E		0.0	Fe10	14260	14260-170210-01	1	combined_new/plate_6_G3.r1.fastq.gz	combined_new/plate_6_G3.r2.fastq.gz
plate_6	E4	Fe10/14261			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14261					-80C			3F		0.0	Fe10	14261	14261-170210-01	1	combined_new/plate_6_E4.r1.fastq.gz	combined_new/plate_6_E4.r2.fastq.gz
plate_5	F1	Fe10/14262			Gut microflora metagenomics	2017-02-07	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14262					-80C			2B		0.0	Fe10	14262	14262-170207-01	1	combined_new/plate_5_F1.r1.fastq.gz	combined_new/plate_5_F1.r2.fastq.gz
plate_6	D3	Fe10/14263			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14263					-80C			3D		0.0	Fe10	14263	14263-170210-01	1	combined_new/plate_6_D3.r1.fastq.gz	combined_new/plate_6_D3.r2.fastq.gz
plate_5	H11	Fe10/14265			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14265					-80C			4A		0.0	Fe10	14265	14265-170210-01	1	combined_new/plate_5_H11.r1.fastq.gz	combined_new/plate_5_H11.r2.fastq.gz
plate_5	A9	Fe10/14276			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14276					-80C			2B		0.0	Fe10	14276	14276-170210-01	1	combined_new/plate_5_A9.r1.fastq.gz	combined_new/plate_5_A9.r2.fastq.gz
plate_5	G8	Fe10/14288			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14288					-80C			3C		0.0	Fe10	14288	14288-170210-01	1	combined_new/plate_5_G8.r1.fastq.gz	combined_new/plate_5_G8.r2.fastq.gz
plate_8	A10	Fe10/14306			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14306					-80C			3B		0.0	Fe10	14306	14306-170210-01	1	combined_new/plate_8_A10.r1.fastq.gz	combined_new/plate_8_A10.r2.fastq.gz
plate_4	H10	Fe10/14308			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14308					-80C			3B		0.0	Fe10	14308	14308-170210-01	1	combined_new/plate_4_H10.r1.fastq.gz	combined_new/plate_4_H10.r2.fastq.gz
plate_8	B1	Fe10/14317			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14317					-80C			2C		0.0	Fe10	14317	14317-170210-01	1	combined_new/plate_8_B1.r1.fastq.gz	combined_new/plate_8_B1.r2.fastq.gz
plate_5	G7	Fe10/14320			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14320					-80C			2F		0.0	Fe10	14320	14320-170210-01	1	combined_new/plate_5_G7.r1.fastq.gz	combined_new/plate_5_G7.r2.fastq.gz
plate_7	G8	Fe10/14322			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14322					-80C			1A		0.0	Fe10	14322	14322-170210-01	1	combined_new/plate_7_G8.r1.fastq.gz	combined_new/plate_7_G8.r2.fastq.gz
plate_6	G9	Fe10/29643			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29643					-80C			3F		0.0	Fe10	29643	29643-170210-01	1	combined_new/plate_6_G9.r1.fastq.gz	combined_new/plate_6_G9.r2.fastq.gz
plate_6	E11	Fe10/29646			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29646					-80C			3F		0.0	Fe10	29646	29646-170210-01	1	combined_new/plate_6_E11.r1.fastq.gz	combined_new/plate_6_E11.r2.fastq.gz
plate_4	C5	Fe10/29652			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29652					-80C			2D		0.0	Fe10	29652	29652-170210-01	1	combined_new/plate_4_C5.r1.fastq.gz	combined_new/plate_4_C5.r2.fastq.gz
plate_8	A11	Fe10/29654			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29654					-80C			1C		0.0	Fe10	29654	29654-170210-01	1	combined_new/plate_8_A11.r1.fastq.gz	combined_new/plate_8_A11.r2.fastq.gz
plate_4	C4	Fe10/29665			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29665					-80C			1B		0.0	Fe10	29665	29665-170210-01	1	combined_new/plate_4_C4.r1.fastq.gz	combined_new/plate_4_C4.r2.fastq.gz
plate_8	A7	Fe10/29666			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29666					-80C			1D		0.0	Fe10	29666	29666-170210-01	1	combined_new/plate_8_A7.r1.fastq.gz	combined_new/plate_8_A7.r2.fastq.gz
plate_6	C10	Fe10/29667			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29667					-80C			2F		0.0	Fe10	29667	29667-170210-01	1	combined_new/plate_6_C10.r1.fastq.gz	combined_new/plate_6_C10.r2.fastq.gz
plate_5	B6	Fe10/29668			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29668					-80C			4A		0.0	Fe10	29668	29668-170210-01	1	combined_new/plate_5_B6.r1.fastq.gz	combined_new/plate_5_B6.r2.fastq.gz
plate_5	E12	Fe10/29694			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29694					-80C			4C		0.0	Fe10	29694	29694-170210-01	1	combined_new/plate_5_E12.r1.fastq.gz	combined_new/plate_5_E12.r2.fastq.gz
plate_7	G9	Fe10/29700			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29700					-80C			3B		0.0	Fe10	29700	29700-170210-01	1	combined_new/plate_7_G9.r1.fastq.gz	combined_new/plate_7_G9.r2.fastq.gz
plate_5	D8	Fe10/29702			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29702					-80C			3E		0.0	Fe10	29702	29702-170210-01	1	combined_new/plate_5_D8.r1.fastq.gz	combined_new/plate_5_D8.r2.fastq.gz
plate_8	B8	Fe10/29704			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29704					-80C			3C		0.0	Fe10	29704	29704-170210-01	1	combined_new/plate_8_B8.r1.fastq.gz	combined_new/plate_8_B8.r2.fastq.gz
plate_7	C3	Fe10/29705			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29705					-80C			1B		0.0	Fe10	29705	29705-170210-01	1	combined_new/plate_7_C3.r1.fastq.gz	combined_new/plate_7_C3.r2.fastq.gz
plate_6	E12	Fe10/29715			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29715					-80C			3E		0.0	Fe10	29715	29715-170210-01	1	combined_new/plate_6_E12.r1.fastq.gz	combined_new/plate_6_E12.r2.fastq.gz
plate_6	B10	Fe10/29742			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29742					-80C			2C		0.0	Fe10	29742	29742-170210-01	1	combined_new/plate_6_B10.r1.fastq.gz	combined_new/plate_6_B10.r2.fastq.gz
plate_8	D6	Fe10/29752			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29752					-80C			2A		0.0	Fe10	29752	29752-170210-01	1	combined_new/plate_8_D6.r1.fastq.gz	combined_new/plate_8_D6.r2.fastq.gz
plate_6	B12	Fe10/29753			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29753					-80C			4C		0.0	Fe10	29753	29753-170210-01	1	combined_new/plate_6_B12.r1.fastq.gz	combined_new/plate_6_B12.r2.fastq.gz
plate_6	F12	Fe10/29781			Gut microflora metagenomics	2017-02-10	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29781					-80C			4A		0.0	Fe10	29781	29781-170210-01	1	combined_new/plate_6_F12.r1.fastq.gz	combined_new/plate_6_F12.r2.fastq.gz
